I3TYPE,RA,DEC
gfu-gold,138.47,-1.94
gfu-gold,272.55,35.64
gfu-bronze,71.15,5.38
hese-gold,68.2,40.67
gfu-bronze,151.08,6.99
gfu-bronze,336.8,1.53
gfu-bronze,332.45,-2.09
gfu-gold,9.76,7.59
gfu-gold,196.08,9.4
gfu-bronze,121.45,50.04
gfu-bronze,267.01,-4.44
gfu-bronze,172.13,44.7
gfu-bronze,26.06,9.82
gfu-bronze,356.84,-11.99
gfu-bronze,165.19,38.49
gfu-bronze,99.98,20.42
gfu-bronze,247.85,0.56
gfu-gold,36.74,18.88
gfu-bronze,26.85,7.03
gfu-gold,237.96,18.76
gfu-bronze,183.56,0.52
hese-gold,165.37,-71.51
gfu-gold,198.94,32
ehe-gold,171.08,26.44
gfu-bronze,343.78,15.48
gfu-bronze,176.48,22.87
gfu-bronze,119.31,14.79
gfu-bronze,152.58,36.38
gfu-bronze,39.95,-15.09
gfu-gold,330.07,1.42
gfu-gold,182.24,3.88
ehe-gold,70.62,19.79
gfu-gold,205.14,-2.28
gfu-gold,169.8,27.91
gfu-bronze,123.18,6.05
gfu-bronze,225.7,8.88
gfu-bronze,7.67,74.14
gfu-bronze,280.46,-1.9
gfu-gold,352.97,-1.98
gfu-bronze,48.38,-13.32
gfu-bronze,303.41,54.68
gfu-bronze,13.45,20.62
hese-gold,167.83,20.66
gfu-bronze,7.38,4.22
gfu-bronze,163.56,29.44
gfu-bronze,337.76,26.24
gfu-bronze,317.5,2.09
gfu-bronze,45.35,23.85
gfu-bronze,164.18,6.32
gfu-gold,93.74,14.17
gfu-bronze,155.35,3.73
gfu-bronze,77.87,-2.43
gfu-bronze,122.87,6.32
gfu-bronze,214.98,7.75
gfu-bronze,129.02,13.36
gfu-bronze,26.59,9.22
gfu-bronze,91.32,0.56
ehe-gold,130.17,-10.54
gfu-gold,32.92,10.28
ehe-gold,301.9,11.61
gfu-bronze,342.73,41.81
gfu-bronze,129.24,-17.27
gfu-gold,285.16,19.47
ehe-gold,288.98,-14.21
gfu-gold,192.26,-2.69
gfu-bronze,37.9,78.97
ehe-gold,344.66,1.57
gfu-gold,293.12,33.02
hese-bronze,337.59,0.71
gfu-bronze,138.82,37.45
hese-gold,220.29,-86.07
ehe-gold,349.58,-13.55
gfu-bronze,202.59,13.06
gfu-bronze,118.83,32.58
gfu-bronze,308.06,32.93
gfu-bronze,225.7,51.06
gfu-gold,2.11,81.22
gfu-bronze,146.95,15.91
gfu-bronze,6.28,16.57
gfu-bronze,162.3,46.57
gfu-bronze,9.71,7.56
