# lgE/eV	E2phi_tot [GeV/cm2/s/sr]	e+ebar	mu+mubar	tau+taubar	lowE
1.205000000000000071e+01	2.405280000000000119e-05	9.611880000000000106e-09	8.895470000000000509e-09	8.780399999999999995e-09	2.402559999999999914e-05
1.215000000000000036e+01	1.682300000000000139e-05	1.057545999999999979e-08	9.777360000000001069e-09	9.649899999999999940e-09	1.679299999999999998e-05
1.225000000000000000e+01	1.177040000000000000e-05	1.155533999999999910e-08	1.067359000000000015e-08	1.053347999999999990e-08	1.173759999999999922e-05
1.234999999999999964e+01	8.239519999999999337e-06	1.247049999999999907e-08	1.151897999999999903e-08	1.136777999999999897e-08	8.204160000000000746e-06
1.244999999999999929e+01	5.772419999999999698e-06	1.341314000000000069e-08	1.238648000000000002e-08	1.222356999999999939e-08	5.734399999999999680e-06
1.255000000000000071e+01	4.048699999999999878e-06	1.431404000000000116e-08	1.321626000000000085e-08	1.304220999999999936e-08	4.008130000000000197e-06
1.265000000000000036e+01	2.844589999999999983e-06	1.520699999999999846e-08	1.401944999999999919e-08	1.383268999999999931e-08	2.801530000000000179e-06
1.275000000000000000e+01	2.003630000000000161e-06	1.605066000000000008e-08	1.480940999999999880e-08	1.461335999999999884e-08	1.958159999999999900e-06
1.284999999999999964e+01	1.416179999999999966e-06	1.675806999999999939e-08	1.547233000000000048e-08	1.526852999999999835e-08	1.368679999999999998e-06
1.294999999999999929e+01	1.006240000000000042e-06	1.749229000000000185e-08	1.614997999999999927e-08	1.593720999999999981e-08	9.566559999999999340e-07
1.305000000000000071e+01	7.196429999999999808e-07	1.798861000000000123e-08	1.660353000000000005e-08	1.638433000000000229e-08	6.686659999999999605e-07
1.315000000000000036e+01	5.197590000000000155e-07	1.849290000000000011e-08	1.705979000000000112e-08	1.683364999999999801e-08	4.673719999999999846e-07
1.325000000000000000e+01	3.800310000000000232e-07	1.885650999999999737e-08	1.736599000000000157e-08	1.713285000000000045e-08	3.266749999999999788e-07
1.334999999999999964e+01	2.822210000000000229e-07	1.901624999999999996e-08	1.755138000000000149e-08	1.731958000000000069e-08	2.283340000000000116e-07
1.344999999999999929e+01	2.133049999999999900e-07	1.895272999999999769e-08	1.749341999999999810e-08	1.726248000000000014e-08	1.595969999999999964e-07
1.355000000000000071e+01	1.644729999999999932e-07	1.865965000000000060e-08	1.724353000000000115e-08	1.701794999999999788e-08	1.115520000000000052e-07
1.365000000000000036e+01	1.295489999999999909e-07	1.818698999999999946e-08	1.680574000000000157e-08	1.658578000000000308e-08	7.797059999999999543e-08
1.375000000000000000e+01	1.041980000000000043e-07	1.751567000000000017e-08	1.619750999999999983e-08	1.598672999999999945e-08	5.449850000000000324e-08
