# lgE/eV	E2phi_tot [GeV/cm2/s/sr]	e+ebar	mu+mubar	tau+taubar	lowE
1.205000000000000071e+01	2.184920000000000165e-06	6.033551800000001013e-14	2.636637799999999789e-14	2.307876000000000033e-14	2.184920000000000165e-06
1.215000000000000036e+01	1.833550000000000004e-06	8.212287999999999389e-14	3.586011399999999656e-14	3.138277800000000581e-14	1.833550000000000004e-06
1.225000000000000000e+01	1.538689999999999917e-06	1.077190799999999959e-13	4.705874900000000148e-14	4.118783899999999697e-14	1.538689999999999917e-06
1.234999999999999964e+01	1.291240000000000067e-06	1.428767399999999993e-13	6.243156000000000191e-14	5.464575000000000093e-14	1.291240000000000067e-06
1.244999999999999929e+01	1.083590000000000030e-06	1.869954999999999881e-13	8.171155999999999650e-14	7.152166999999999689e-14	1.083590000000000030e-06
1.255000000000000071e+01	9.093340000000000083e-07	2.433093499999999784e-13	1.063501500000000070e-13	9.309473000000000433e-14	9.093329999999999807e-07
1.265000000000000036e+01	7.630990000000000227e-07	3.193352200000000078e-13	1.397849999999999946e-13	1.224050699999999970e-13	7.630990000000000227e-07
1.275000000000000000e+01	6.403810000000000484e-07	4.273477000000000270e-13	1.870237599999999994e-13	1.637615099999999942e-13	6.403810000000000484e-07
1.284999999999999964e+01	5.373979999999999791e-07	5.690145999999999451e-13	2.489725000000000279e-13	2.179933199999999961e-13	5.373969999999999515e-07
1.294999999999999929e+01	4.509770000000000022e-07	7.850527999999999726e-13	3.440720999999999673e-13	3.013816999999999960e-13	4.509759999999999746e-07
1.305000000000000071e+01	3.784540000000000085e-07	1.088675900000000018e-12	4.766498000000000800e-13	4.174055000000000131e-13	3.784520000000000063e-07
1.315000000000000036e+01	3.175939999999999784e-07	1.525985700000000187e-12	6.687698000000000732e-13	5.857850000000000127e-13	3.175910000000000015e-07
1.325000000000000000e+01	2.665210000000000080e-07	2.113874499999999931e-12	9.273209999999999015e-13	8.124458999999999925e-13	2.665170000000000035e-07
1.334999999999999964e+01	2.236630000000000090e-07	3.014708000000000244e-12	1.324249900000000080e-12	1.160578899999999858e-12	2.236570000000000022e-07
1.344999999999999929e+01	1.876969999999999899e-07	4.168221999999999725e-12	1.832836699999999805e-12	1.606696000000000124e-12	1.876900000000000084e-07
1.355000000000000071e+01	1.575159999999999925e-07	5.584197000000000263e-12	2.459102899999999950e-12	2.156455899999999937e-12	1.575060000000000076e-07
1.365000000000000036e+01	1.321899999999999945e-07	7.324789000000000567e-12	3.230584899999999752e-12	2.834037600000000138e-12	1.321770000000000063e-07
1.375000000000000000e+01	1.109379999999999972e-07	9.338011000000000690e-12	4.127766000000000003e-12	3.623028999999999990e-12	1.109210000000000044e-07
1.384999999999999964e+01	9.310380000000000020e-08	1.136756800000000026e-11	5.038182000000000191e-12	4.424909000000000205e-12	9.308300000000000044e-08
1.394999999999999929e+01	7.813829999999999765e-08	1.334502300000000054e-11	5.955950000000000284e-12	5.239580999999999947e-12	7.811370000000000417e-08
1.405000000000000071e+01	6.558010000000000104e-08	1.533524799999999896e-11	6.894363999999999601e-12	6.075533000000000583e-12	6.555180000000000601e-08
1.415000000000000036e+01	5.504189999999999870e-08	1.720860399999999989e-11	7.835027999999999641e-12	6.924744999999999490e-12	5.500990000000000212e-08
1.425000000000000000e+01	4.619910000000000107e-08	1.924699000000000218e-11	8.875740000000000710e-12	7.867430000000000536e-12	4.616309999999999995e-08
1.434999999999999964e+01	3.877909999999999816e-08	2.126054000000000101e-11	1.007477000000000110e-11	8.984510000000000054e-12	3.873880000000000275e-08
1.444999999999999929e+01	3.255230000000000225e-08	2.335915000000000109e-11	1.127958999999999960e-11	1.010003999999999985e-11	3.250760000000000053e-08
1.455000000000000071e+01	2.732670000000000077e-08	2.540241999999999871e-11	1.276442999999999956e-11	1.152509999999999983e-11	2.727700000000000000e-08
1.465000000000000036e+01	2.293990000000000016e-08	2.764144999999999790e-11	1.454242999999999946e-11	1.325064999999999989e-11	2.288440000000000009e-08
1.475000000000000000e+01	1.925270000000000073e-08	2.952823999999999899e-11	1.644219000000000105e-11	1.514127000000000178e-11	1.919150000000000016e-08
1.484999999999999964e+01	1.614850000000000064e-08	3.229767999999999936e-11	1.947400000000000043e-11	1.818059999999999949e-11	1.607850000000000067e-08
1.494999999999999929e+01	1.351559999999999994e-08	3.460560000000000352e-11	2.271627999999999820e-11	2.149158000000000242e-11	1.343680000000000058e-08
1.505000000000000071e+01	1.125099999999999930e-08	3.810089999999999894e-11	2.746460000000000073e-11	2.632980000000000197e-11	1.115920000000000009e-08
1.515000000000000036e+01	9.235929999999999972e-09	4.310129999999999932e-11	3.406050000000000093e-11	3.303730000000000181e-11	9.125730000000000084e-09
1.525000000000000000e+01	7.325869999999999643e-09	4.921210000000000111e-11	4.352069999999999893e-11	4.275550000000000295e-11	7.190379999999999731e-09
1.534999999999999964e+01	5.377909999999999682e-09	6.086250000000000567e-11	5.664569999999999884e-11	5.594500000000000042e-11	5.204460000000000038e-09
1.544999999999999929e+01	3.400450000000000184e-09	7.982269999999999671e-11	7.733990000000000814e-11	7.668619999999999932e-11	3.166610000000000090e-09
1.555000000000000071e+01	1.749990000000000075e-09	1.096397999999999966e-10	1.074031999999999978e-10	1.066072999999999995e-10	1.426340000000000060e-09
1.565000000000000036e+01	8.809759999999999571e-10	1.601714999999999881e-10	1.560103000000000046e-10	1.547699999999999991e-10	4.100239999999999791e-10
1.575000000000000000e+01	7.466689999999999576e-10	2.346805999999999950e-10	2.264489999999999694e-10	2.244449999999999937e-10	6.109380000000000207e-11
1.584999999999999964e+01	9.884690000000000946e-10	3.397170000000000171e-10	3.243279999999999889e-10	3.211250000000000155e-10	3.298919999999999841e-12
1.594999999999999929e+01	1.380859999999999924e-09	4.823919999999999406e-10	4.518659999999999779e-10	4.465639999999999894e-10	3.579289999999999989e-14
1.605000000000000071e+01	1.853770000000000103e-09	6.503669999999999731e-10	6.054399999999999276e-10	5.979640000000000043e-10	3.052750000000000030e-17
1.614999999999999858e+01	2.352550000000000112e-09	8.300500000000000443e-10	7.663010000000000404e-10	7.562010000000000442e-10	4.624040000000000081e-22
1.625000000000000000e+01	2.841910000000000167e-09	1.005493000000000138e-09	9.244919999999999959e-10	9.119279999999999553e-10	1.177319999999999939e-29
